NCBI	Name	contrast	z.ratio	padj
1084	Chthonomonas/Armatimonadetes_gp3	Sexo0 Dieta0 - Sexo1 Dieta0	-0.5825601013279829	0.9989513311339903
1084	Chthonomonas/Armatimonadetes_gp3	Sexo0 Dieta0 - Sexo0 Dieta1	-0.19144314784612934	0.9989513311339903
1084	Chthonomonas/Armatimonadetes_gp3	Sexo0 Dieta0 - Sexo1 Dieta1	-0.7574453554517586	0.9989513311339903
1084	Chthonomonas/Armatimonadetes_gp3	Sexo1 Dieta0 - Sexo0 Dieta1	0.4420890784706511	0.9989513311339903
1084	Chthonomonas/Armatimonadetes_gp3	Sexo1 Dieta0 - Sexo1 Dieta1	-0.14329294371743673	0.9989513311339903
1084	Chthonomonas/Armatimonadetes_gp3	Sexo0 Dieta1 - Sexo1 Dieta1	-0.6303599692643514	0.9989513311339903
1088	Barnesiella	Sexo0 Dieta0 - Sexo1 Dieta0	-2.2069391014793305	0.24258198884025428
1088	Barnesiella	Sexo0 Dieta0 - Sexo0 Dieta1	0.3452778858801771	0.9858587104107293
1088	Barnesiella	Sexo0 Dieta0 - Sexo1 Dieta1	0.9403941399967928	0.9858587104107293
1088	Barnesiella	Sexo1 Dieta0 - Sexo0 Dieta1	2.7747006365266875	0.08484958295820988
1088	Barnesiella	Sexo1 Dieta0 - Sexo1 Dieta1	3.258977957369954	0.03691479705030165
1088	Barnesiella	Sexo0 Dieta1 - Sexo1 Dieta1	0.6579209588152504	0.9858587104107293
1089	Butyricimonas	Sexo0 Dieta0 - Sexo1 Dieta0	-1.2736020695310255	0.9999961771620316
1089	Butyricimonas	Sexo0 Dieta0 - Sexo0 Dieta1	-0.7457932652546789	0.9999961771620316
1089	Butyricimonas	Sexo0 Dieta0 - Sexo1 Dieta1	-1.3163428728328175	0.9999961771620316
1089	Butyricimonas	Sexo1 Dieta0 - Sexo0 Dieta1	0.6419533970300815	0.9999961771620316
1089	Butyricimonas	Sexo1 Dieta0 - Sexo1 Dieta1	0.021998167505238718	0.9999961771620316
1089	Butyricimonas	Sexo0 Dieta1 - Sexo1 Dieta1	-0.6612444200215245	0.9999961771620316
109	Acidobacteria_Gp22	Sexo0 Dieta0 - Sexo1 Dieta0	-1.292907487472955	0.9971964068340136
109	Acidobacteria_Gp22	Sexo0 Dieta0 - Sexo0 Dieta1	0.19935353403913028	0.9971964068340136
109	Acidobacteria_Gp22	Sexo0 Dieta0 - Sexo1 Dieta1	-0.3676671769636116	0.9971964068340136
109	Acidobacteria_Gp22	Sexo1 Dieta0 - Sexo0 Dieta1	1.6146812135339534	0.9971964068340136
109	Acidobacteria_Gp22	Sexo1 Dieta0 - Sexo1 Dieta1	1.009259353122633	0.9971964068340136
109	Acidobacteria_Gp22	Sexo0 Dieta1 - Sexo1 Dieta1	-0.6179028808623163	0.9971964068340136
1090	Coprobacter	Sexo0 Dieta0 - Sexo1 Dieta0	-1.7267500771173157	0.6193437333828964
1090	Coprobacter	Sexo0 Dieta0 - Sexo0 Dieta1	0.20332245054668074	0.9970273775701797
1090	Coprobacter	Sexo0 Dieta0 - Sexo1 Dieta1	0.652138502995382	0.9970273775701797
1090	Coprobacter	Sexo1 Dieta0 - Sexo0 Dieta1	2.0975359840271803	0.4615382881478933
1090	Coprobacter	Sexo1 Dieta0 - Sexo1 Dieta1	2.495655141741636	0.36340532254686053
1090	Coprobacter	Sexo0 Dieta1 - Sexo1 Dieta1	0.4952977009170854	0.9970273775701797
1091	Dysgonomonas	Sexo0 Dieta0 - Sexo1 Dieta0	-7.237835971808714e-6	1
1091	Dysgonomonas	Sexo0 Dieta0 - Sexo0 Dieta1	1.354983832675652	0.8954073419752104
1091	Dysgonomonas	Sexo0 Dieta0 - Sexo1 Dieta1	1.246839570357051	0.8954073419752104
1091	Dysgonomonas	Sexo1 Dieta0 - Sexo0 Dieta1	1.3549917524963986	0.8954073419752104
1091	Dysgonomonas	Sexo1 Dieta0 - Sexo1 Dieta1	1.2468472731242843	0.8954073419752104
1091	Dysgonomonas	Sexo0 Dieta1 - Sexo1 Dieta1	-0.0813059821008677	1
1093	Macellibacteroides	Sexo0 Dieta0 - Sexo1 Dieta0	-2.593464337509249	0.14053235233714245
1093	Macellibacteroides	Sexo0 Dieta0 - Sexo0 Dieta1	-1.4588786527065494	0.6164852981485464
1093	Macellibacteroides	Sexo0 Dieta0 - Sexo1 Dieta1	3.2290477949995977e-16	1
1093	Macellibacteroides	Sexo1 Dieta0 - Sexo0 Dieta1	1.3771273226120573	0.6164852981485464
